part,trial,k,subset,err_sh,err_el,err_wr
P07,trial_10_L_unaffected,2,01,33.168800146963896,63.293185294351666,33.83373581803377
P07,trial_10_L_unaffected,2,02,28.461971095217375,54.83194182611178,30.746434636135938
P07,trial_10_L_unaffected,2,03,30.08249672148074,39.37144876064114,30.093773949957686
P07,trial_10_L_unaffected,2,04,75.41418175892463,44.7731637906284,33.964140215587484
P07,trial_10_L_unaffected,2,12,37.58831057173306,54.548749839169865,26.99979768633424
P07,trial_10_L_unaffected,2,13,38.60431028080075,44.40091080794539,28.391593557919634
P07,trial_10_L_unaffected,2,14,49.51559985096737,52.42620776088852,23.813698062692968
P07,trial_10_L_unaffected,2,23,45.97975092953634,67.4330093536017,39.645744353570265
P07,trial_10_L_unaffected,2,24,50.14727654357676,54.80526693929196,23.58786196659319
P07,trial_10_L_unaffected,2,34,49.098803882312424,44.735111000580225,27.88571065009283
P07,trial_10_L_unaffected,3,012,31.763986918886594,57.218399787956244,28.805850098646314
P07,trial_10_L_unaffected,3,013,31.65834422618314,44.36415049029421,25.837095316770704
P07,trial_10_L_unaffected,3,014,43.122370172324885,51.405625390747026,21.06128926038878
P07,trial_10_L_unaffected,3,023,29.706507268697703,47.75855122218682,27.765872703116763
P07,trial_10_L_unaffected,3,024,37.19033410748032,50.65480451837302,22.8235948483735
P07,trial_10_L_unaffected,3,034,35.87418890279396,38.31844926194807,26.160159997749876
P07,trial_10_L_unaffected,3,123,38.359355026605165,49.01303330284306,25.743419001270773
P07,trial_10_L_unaffected,3,124,45.8246197848418,52.57528908336455,21.6717200822079
P07,trial_10_L_unaffected,3,134,42.38386899845243,44.52848839410377,25.340960449417814
P07,trial_10_L_unaffected,3,234,48.62276723572677,49.302189963272625,25.18182773369923
P07,trial_10_L_unaffected,4,0123,31.84521991744785,48.781091115094725,24.90534669902629
P07,trial_10_L_unaffected,4,0124,38.122554240243865,52.21055313628055,20.92944903755661
P07,trial_10_L_unaffected,4,0134,36.883782634536864,43.63702818379315,23.60461660174668
P07,trial_10_L_unaffected,4,0234,36.051731089532325,45.870784202074816,24.204069593076444
P07,trial_10_L_unaffected,4,1234,43.19832854831687,47.96791378761724,23.5502832080511
P07,trial_10_L_unaffected,5,01234,36.67960553146533,47.36648845052122,22.490085260024085
P07,trial_11_L_unaffected,2,01,33.21949157828206,60.57583086167964,31.136046916531566
P07,trial_11_L_unaffected,2,02,26.531591688461642,49.8254871703509,27.72170015770972
P07,trial_11_L_unaffected,2,03,28.49274968186215,39.16004858988388,29.352237722951088
P07,trial_11_L_unaffected,2,04,73.17885271505023,45.9515983580163,33.04465133990226
P07,trial_11_L_unaffected,2,12,37.00785372085941,49.72935707529719,22.37920625524097
P07,trial_11_L_unaffected,2,13,38.39353999754519,42.263945345967095,26.844265141417665
P07,trial_11_L_unaffected,2,14,49.303829774427534,50.65502876522423,22.3178999234343
P07,trial_11_L_unaffected,2,23,48.12368042514135,62.637478914248206,39.501909761575924
P07,trial_11_L_unaffected,2,24,51.069988460427396,50.04253572909303,22.454010560518014
P07,trial_11_L_unaffected,2,34,49.810047323910226,45.664624933460345,26.93719404475732
P07,trial_11_L_unaffected,3,012,32.06393218633937,53.95606914172669,25.53413390611441
P07,trial_11_L_unaffected,3,013,31.5849162394175,43.14503695159716,23.075607250915816
P07,trial_11_L_unaffected,3,014,42.646555562319996,50.243828027643204,18.582793206206116
P07,trial_11_L_unaffected,3,023,29.154474094240165,45.029323702767385,25.311619223197027
P07,trial_11_L_unaffected,3,024,36.95907086326482,47.52795786538838,20.81185497858194
P07,trial_11_L_unaffected,3,034,35.09185836334695,38.73851784659787,24.784383451030603
P07,trial_11_L_unaffected,3,123,37.92991237546039,45.02235207646849,24.4054047620417
P07,trial_11_L_unaffected,3,124,45.59910524711631,49.105799819785865,20.53972967653747
P07,trial_11_L_unaffected,3,134,42.4658314850551,43.4753515961659,23.826055607598153
P07,trial_11_L_unaffected,3,234,49.76667797939197,46.10424558092714,24.079292405451408
P07,trial_11_L_unaffected,4,0123,31.570954744484364,45.94308684214857,22.20919712629244
P07,trial_11_L_unaffected,4,0124,37.902597998493164,49.29290281297006,18.649469648674327
P07,trial_11_L_unaffected,4,0134,36.59454944283767,42.897760061033445,21.598783554614734
P07,trial_11_L_unaffected,4,0234,35.977597761473056,43.730510271313584,22.485738739644514
P07,trial_11_L_unaffected,4,1234,43.285465125230836,45.17108996489232,22.281268906071222
P07,trial_11_L_unaffected,5,01234,36.51457978923744,45.07475254108026,20.58120096057798
