measure,label,r_omc_win,r_mmc_win,delta,n
peak_velocity,PV,0.894849991656311,0.8894122048219602,-0.005437786834350811,750
peak_elbow_angular_velocity,Elbow angular PV,0.8866046454285349,0.8771146487933452,-0.00948999663518968,750
time_to_peak_velocity,Time to PV,0.9932429172964443,0.9605278690603273,-0.03271504823611704,748
time_to_first_peak_velocity,Time to first PV,0.9962020798168043,0.9957132420873144,-0.0004888377294899326,748
number_of_movement_units,Number of movement units,0.8437097709903023,0.8069584671481753,-0.03675130384212699,748
total_movement_time,Total movement time,1.0,0.9944583420038351,-0.005541657996164906,602
interjoint_coordination,Interjoint coordination,0.40567809530508303,0.4719228768022241,0.06624478149714108,747
max_trunk_displacement,Trunk displacement,0.9338907877260361,0.9338907877260361,0.0,750
max_shoulder_flexion,Shoulder flexion,0.6832981929239342,0.6824963095479412,-0.0008018833759930732,750
max_shoulder_flexion_drink,Shoulder flexion (drinking),0.7300930070004148,0.7228834678737858,-0.007209539126629028,748
max_elbow_angle,Elbow extension,0.9003593781259993,0.9003593781259993,0.0,750
max_shoulder_abduction,Shoulder abduction,0.8630377605259898,0.8616666955932775,-0.0013710649327123292,750
