measure,label,r_omc_win,r_mmc_win,delta,n
peak_velocity,PV,0.8935652653000805,0.8883239940916496,-0.0052412712084308755,750
peak_elbow_angular_velocity,Elbow angular PV,0.9114891805888639,0.8987433380145575,-0.012745842574306332,750
time_to_peak_velocity,Time to PV,0.9923470189141064,0.9595795613137491,-0.032767457600357264,748
time_to_first_peak_velocity,Time to first PV,0.9957460986221758,0.9952454608717046,-0.0005006377504711557,748
number_of_movement_units,Number of movement units,0.8406457843591773,0.80435831551353,-0.036287468845647264,748
total_movement_time,Total movement time,1.0,0.9944583420038351,-0.005541657996164906,602
interjoint_coordination,Interjoint coordination,0.4829587163401185,0.5710762035911366,0.08811748725101815,747
max_trunk_displacement,Trunk displacement,0.9517037978373499,0.9517037978373499,0.0,750
max_shoulder_flexion,Shoulder flexion,0.9668557557876629,0.9666916979925657,-0.00016405779509720553,750
max_shoulder_flexion_drink,Shoulder flexion (drinking),0.971964238151135,0.9687735342567747,-0.0031907038943602695,748
max_elbow_angle,Elbow extension,0.9811354034362259,0.9811354034362259,0.0,750
max_shoulder_abduction,Shoulder abduction,0.9437383013110141,0.9436885081001236,-4.9793210890491935e-05,750
