part,trial,side,mmc_abd,omc_world,omc_body
P07,10,L,16.774395233375458,28.134926350766683,22.880169206957476
P07,13,L,17.996244639043596,32.74390823121498,23.912239226608033
P07,14,L,17.61171523235151,30.598710320798837,23.548400362079914
P07,15,L,16.447823876615526,28.33744071293766,22.243036935822886
P07,17,L,17.699559323852537,36.15829201952759,23.8600013546113
P07,18,L,17.933617863859613,26.532488972246732,24.42135280590635
P07,19,L,18.24953782022049,29.351497201590593,24.22059678296963
P07,20,L,17.199508417398672,25.344463838947,22.391492036345912
P07,21,L,17.195910450221817,25.422539063472726,23.305951822459367
P07,22,L,18.639545795296005,25.969062491810636,23.96330312863616
P07,23,L,17.92623572653752,26.816899564056104,23.53141475572215
P07,24,L,18.650252533789367,31.98988361044902,23.86150859758041
P07,26,L,18.023191948539836,27.6252294559334,24.43926215968362
P07,27,L,18.812420869005305,29.780070144043087,24.50922034510767
P07,28,L,18.494524118009693,26.09350770363812,24.75777756462684
P07,2,L,17.812598672848218,24.03213026520748,22.22911933516207
P07,30,L,17.888432198792835,27.72931155454392,23.909189612494828
P07,31,L,17.584293752102926,25.556343580486516,23.955207596222063
P07,32,L,18.752644776254726,25.673260265401055,24.43006311925823
P07,33,L,18.644632840061924,36.77228741438206,24.821197339357013
P07,34,L,18.471417195080083,38.725241080132996,24.6296113962257
P07,35,L,17.40725486784013,33.687108365183946,23.775785942186804
P07,36,L,22.742984598530363,31.69165940652059,26.95244001433787
P07,37,L,20.21956643471915,29.130437048108714,24.8523793317975
P07,38,L,21.45799661685002,32.26272361486042,26.181835205191994
P07,41,L,22.70924722487517,50.332180006679785,25.606650268380587
P07,42,L,18.815315979277525,37.02781335811766,24.25195090259969
P07,43,R,23.984286903228444,47.88654218593431,31.969637198079685
P07,44,R,33.88527425083791,58.81262024397101,34.603894019620036
P07,46,R,41.32473648651596,68.04079216294568,39.12860558584233
P07,48,R,27.099889333867456,53.045628658502054,30.897514940966566
P07,49,R,42.87748194819145,71.39657515161696,38.84359304078295
P07,52,R,50.62088015940771,80.39784026452176,45.1115352534166
P07,53,R,40.77616201081666,68.75032636768142,36.441548006699364
P07,54,R,42.728159441339805,72.78081809571204,39.58669183583162
P07,55,R,40.640343969306485,69.22579917720668,38.14261976063816
P07,56,R,37.852100177479436,68.25813955411293,36.51262349493685
P07,57,R,32.0487303900952,61.947266914210886,33.95339781656166
P07,59,R,29.73756289455658,69.69426522812427,37.36304990216578
P07,60,R,36.870064442064304,64.31478868495799,35.30165570124983
P07,61,R,30.2198054676318,60.2969656661481,31.279262445338635
P07,62,R,40.60672054554649,72.37890046122321,38.76306999671514
P07,63,R,20.697176288711553,42.55828830361123,25.667852819643702
P07,64,R,23.976892630053584,47.51049521347304,29.291099380373
P07,65,R,43.090689204140205,73.66016710560363,39.41029406336426
P07,66,R,42.021931116953716,71.4191997261677,39.05150812040948
P07,67,R,44.61987118259543,71.69136327257017,40.72730046934515
P07,68,R,42.037010586431734,82.63954851010168,49.082719538248426
P07,69,R,47.718855669230805,84.06591890067985,49.792261272009455
P07,72,R,34.96051114839321,60.634921916718696,35.116788554332395
P07,73,R,40.88109219233295,69.85439880054226,38.91362635866863
P07,74,R,48.154553466134004,75.64822470240277,44.53866053093689
P07,75,R,43.27255861486066,72.84887344524529,39.857151039843956
P07,76,R,41.5831427043269,71.65080283971811,37.271343583393254
