src,part,trial,drink_outside_hold,short_hold,short_drink,hold_touches_start,hold_touches_end,no_rest_pre,no_rest_post,cup_nan_frac,hand_nan_frac,no_track
omc,P07,trial_10_L_unaffected,False,False,False,False,False,False,False,0.00375234521575985,0.00375234521575985,
mmc,P07,trial_10_L_unaffected,False,False,False,False,False,False,False,0.0,0.001876172607879925,
mmc_c3kf,P07,trial_10_L_unaffected,True,False,True,False,False,False,False,0.0,0.001876172607879925,
mmc_c3kf_wr,P07,trial_10_L_unaffected,True,False,True,False,False,False,False,0.0,0.001876172607879925,
mmc_c3kf_wr2,P07,trial_10_L_unaffected,True,False,True,False,False,False,False,0.0,0.001876172607879925,
omc,P07,trial_13_L_unaffected,False,False,False,False,False,False,False,0.0,0.0,
mmc,P07,trial_13_L_unaffected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf,P07,trial_13_L_unaffected,True,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr,P07,trial_13_L_unaffected,True,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr2,P07,trial_13_L_unaffected,True,False,False,False,False,False,False,0.0,0.0,
omc,P07,trial_14_L_unaffected,False,False,False,False,False,False,False,0.003355704697986577,0.003355704697986577,
mmc,P07,trial_14_L_unaffected,True,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf,P07,trial_14_L_unaffected,True,False,True,False,False,False,False,0.0,0.0,
mmc_c3kf_wr,P07,trial_14_L_unaffected,True,False,True,False,False,False,False,0.0,0.0,
mmc_c3kf_wr2,P07,trial_14_L_unaffected,True,False,True,False,False,False,False,0.0,0.0,
omc,P07,trial_15_L_unaffected,False,False,False,False,False,False,False,0.002178649237472767,0.002178649237472767,
mmc,P07,trial_15_L_unaffected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf,P07,trial_15_L_unaffected,True,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr,P07,trial_15_L_unaffected,True,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr2,P07,trial_15_L_unaffected,True,False,False,False,False,False,False,0.0,0.0,
omc,P07,trial_17_L_unaffected,False,False,False,False,False,False,False,0.0038684719535783366,0.0038684719535783366,
mmc,P07,trial_17_L_unaffected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf,P07,trial_17_L_unaffected,True,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr,P07,trial_17_L_unaffected,True,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr2,P07,trial_17_L_unaffected,True,False,False,False,False,False,False,0.0,0.0,
omc,P07,trial_18_L_unaffected,False,False,False,False,False,False,False,0.0055762081784386614,0.0055762081784386614,
mmc,P07,trial_18_L_unaffected,False,False,False,False,False,False,False,0.0,0.0037174721189591076,
mmc_c3kf,P07,trial_18_L_unaffected,True,False,True,False,False,False,False,0.0,0.0037174721189591076,
mmc_c3kf_wr,P07,trial_18_L_unaffected,True,False,True,False,False,False,False,0.0,0.0037174721189591076,
mmc_c3kf_wr2,P07,trial_18_L_unaffected,True,False,True,False,False,False,False,0.0,0.0037174721189591076,
omc,P07,trial_19_L_unaffected,False,False,False,False,False,False,False,0.0035587188612099642,0.0035587188612099642,
mmc,P07,trial_19_L_unaffected,True,False,False,False,False,False,False,0.0,0.0017793594306049821,
mmc_c3kf,P07,trial_19_L_unaffected,True,False,True,False,False,False,False,0.0,0.0017793594306049821,
mmc_c3kf_wr,P07,trial_19_L_unaffected,True,False,True,False,False,False,False,0.0,0.0017793594306049821,
mmc_c3kf_wr2,P07,trial_19_L_unaffected,True,False,True,False,False,False,False,0.0,0.0017793594306049821,
omc,P07,trial_20_L_unaffected,False,False,False,False,False,False,False,0.003430531732418525,0.003430531732418525,
mmc,P07,trial_20_L_unaffected,False,False,False,False,False,False,False,0.0,0.003430531732418525,
mmc_c3kf,P07,trial_20_L_unaffected,True,False,True,False,False,False,False,0.0,0.003430531732418525,
mmc_c3kf_wr,P07,trial_20_L_unaffected,True,False,True,False,False,False,False,0.0,0.003430531732418525,
mmc_c3kf_wr2,P07,trial_20_L_unaffected,True,False,True,False,False,False,False,0.0,0.003430531732418525,
omc,P07,trial_21_L_unaffected,False,False,False,False,False,False,False,0.002207505518763797,0.002207505518763797,
mmc,P07,trial_21_L_unaffected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf,P07,trial_21_L_unaffected,True,False,True,False,False,False,False,0.0,0.0,
mmc_c3kf_wr,P07,trial_21_L_unaffected,True,False,True,False,False,False,False,0.0,0.0,
mmc_c3kf_wr2,P07,trial_21_L_unaffected,True,False,True,False,False,False,False,0.0,0.0,
omc,P07,trial_22_L_unaffected,False,False,False,False,False,False,False,0.0016891891891891893,0.0016891891891891893,
mmc,P07,trial_22_L_unaffected,True,False,True,False,False,False,False,0.0,0.0033783783783783786,
mmc_c3kf,P07,trial_22_L_unaffected,True,False,True,False,False,False,False,0.0,0.0033783783783783786,
mmc_c3kf_wr,P07,trial_22_L_unaffected,True,False,True,False,False,False,False,0.0,0.0033783783783783786,
mmc_c3kf_wr2,P07,trial_22_L_unaffected,True,False,True,False,False,False,False,0.0,0.0033783783783783786,
omc,P07,trial_23_L_unaffected,False,False,False,False,False,False,False,0.003838771593090211,0.003838771593090211,
mmc,P07,trial_23_L_unaffected,True,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf,P07,trial_23_L_unaffected,True,False,True,False,False,False,False,0.0,0.0,
mmc_c3kf_wr,P07,trial_23_L_unaffected,True,False,True,False,False,False,False,0.0,0.0,
mmc_c3kf_wr2,P07,trial_23_L_unaffected,True,False,True,False,False,False,False,0.0,0.0,
omc,P07,trial_24_L_unaffected,False,False,False,False,False,False,False,0.001669449081803005,0.001669449081803005,
mmc,P07,trial_24_L_unaffected,True,False,True,False,False,False,False,0.0,0.0,
mmc_c3kf,P07,trial_24_L_unaffected,True,False,True,False,False,False,False,0.0,0.0,
mmc_c3kf_wr,P07,trial_24_L_unaffected,True,False,True,False,False,False,False,0.0,0.0,
mmc_c3kf_wr2,P07,trial_24_L_unaffected,True,False,True,False,False,False,False,0.0,0.0,
omc,P07,trial_27_L_unaffected,False,False,False,False,False,False,False,0.00199203187250996,0.00199203187250996,
mmc,P07,trial_27_L_unaffected,True,False,True,False,False,False,False,0.0,0.0,
mmc_c3kf,P07,trial_27_L_unaffected,True,False,True,False,False,False,False,0.0,0.0,
mmc_c3kf_wr,P07,trial_27_L_unaffected,True,False,True,False,False,False,False,0.0,0.0,
mmc_c3kf_wr2,P07,trial_27_L_unaffected,True,False,True,False,False,False,False,0.0,0.0,
omc,P07,trial_28_L_unaffected,False,False,False,False,False,False,False,0.0019120458891013384,0.0019120458891013384,
mmc,P07,trial_28_L_unaffected,True,False,True,False,False,False,False,0.0,0.0,
mmc_c3kf,P07,trial_28_L_unaffected,True,False,True,False,False,False,False,0.0,0.0,
mmc_c3kf_wr,P07,trial_28_L_unaffected,True,False,True,False,False,False,False,0.0,0.0,
mmc_c3kf_wr2,P07,trial_28_L_unaffected,True,False,True,False,False,False,False,0.0,0.0,
omc,P07,trial_2_L_unaffected,False,False,False,False,False,False,False,0.0,0.0,
mmc,P07,trial_2_L_unaffected,True,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf,P07,trial_2_L_unaffected,True,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr,P07,trial_2_L_unaffected,True,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr2,P07,trial_2_L_unaffected,True,False,False,False,False,False,False,0.0,0.0,
omc,P07,trial_30_L_unaffected,False,False,False,False,False,False,False,0.0019801980198019802,0.0019801980198019802,
mmc,P07,trial_30_L_unaffected,True,False,True,False,False,False,False,0.0,0.0,
mmc_c3kf,P07,trial_30_L_unaffected,True,False,True,False,False,False,False,0.0,0.0,
mmc_c3kf_wr,P07,trial_30_L_unaffected,True,False,True,False,False,False,False,0.0,0.0,
mmc_c3kf_wr2,P07,trial_30_L_unaffected,True,False,True,False,False,False,False,0.0,0.0,
