measure,variant,r_s_opt,r_av_opt,r_s_mmc,r_av_mmc,n_mmc,omc_mean,delta_r_s_mmc
peak_velocity,shipped,0.8936,0.9428,0.8883,0.9438,750,546.2631,0.0
peak_velocity,onset-speed,0.8955,0.943,0.8902,0.9436,751,545.5,0.0019
peak_velocity,settle-speed,0.8936,0.9428,0.8883,0.9438,750,546.2631,0.0
peak_velocity,both-speed,0.8955,0.943,0.8902,0.9436,751,545.5,0.0019
peak_elbow_angular_velocity,shipped,0.9115,0.9734,0.8987,0.9778,750,98.5382,0.0
peak_elbow_angular_velocity,onset-speed,0.9103,0.9742,0.8991,0.979,751,98.6468,0.0004
peak_elbow_angular_velocity,settle-speed,0.9115,0.9734,0.8987,0.9778,750,98.5382,0.0
peak_elbow_angular_velocity,both-speed,0.9103,0.9742,0.8991,0.979,751,98.6468,0.0004
time_to_peak_velocity,shipped,0.9923,0.9949,0.9596,0.994,748,1.16,0.0
time_to_peak_velocity,onset-speed,0.9872,0.995,0.9557,0.9931,749,1.1531,-0.0038
time_to_peak_velocity,settle-speed,0.9923,0.9949,0.9596,0.994,748,1.16,0.0
time_to_peak_velocity,both-speed,0.9872,0.995,0.9557,0.9931,749,1.1531,-0.0038
time_to_first_peak_velocity,shipped,0.9957,0.9968,0.9952,0.9968,748,1.1669,0.0
time_to_first_peak_velocity,onset-speed,0.9942,0.9966,0.9916,0.996,749,1.1588,-0.0037
time_to_first_peak_velocity,settle-speed,0.9957,0.9968,0.9952,0.9968,748,1.1669,0.0
time_to_first_peak_velocity,both-speed,0.9942,0.9966,0.9916,0.996,749,1.1588,-0.0037
number_of_movement_units,shipped,0.8406,0.9328,0.8044,0.8941,748,1.5307,0.0
number_of_movement_units,onset-speed,0.8319,0.9281,0.8009,0.8959,749,1.5507,-0.0035
number_of_movement_units,settle-speed,0.8347,0.9299,0.8,0.893,748,1.5495,-0.0043
number_of_movement_units,both-speed,0.8256,0.925,0.7952,0.8941,749,1.5693,-0.0092
total_movement_time,shipped,1.0,1.0,0.9945,0.9975,602,6.2227,0.0
total_movement_time,onset-speed,1.0,1.0,0.9944,0.9983,604,6.3747,-0.0001
total_movement_time,settle-speed,1.0,1.0,0.9921,0.9981,602,6.4763,-0.0024
total_movement_time,both-speed,1.0,1.0,0.9922,0.9986,604,6.628,-0.0023
interjoint_coordination,shipped,0.4831,0.827,0.5711,0.8757,747,0.9743,0.0
interjoint_coordination,onset-speed,0.2116,0.3519,0.3331,0.5441,748,0.9688,-0.238
interjoint_coordination,settle-speed,0.4831,0.827,0.5711,0.8757,747,0.9743,0.0
interjoint_coordination,both-speed,0.2116,0.3519,0.3331,0.5441,748,0.9688,-0.238
max_trunk_displacement,shipped,0.9517,0.9856,0.9517,0.9856,750,56.3509,0.0
max_trunk_displacement,onset-speed,0.934,0.9594,0.934,0.9594,751,56.0529,-0.0177
max_trunk_displacement,settle-speed,0.9339,0.9597,0.9339,0.9597,750,56.0951,-0.0178
max_trunk_displacement,both-speed,0.934,0.9594,0.934,0.9594,751,56.0529,-0.0177
max_shoulder_flexion,shipped,0.9669,0.9914,0.9667,0.9915,750,39.4664,0.0
max_shoulder_flexion,onset-speed,0.9672,0.9914,0.9672,0.9913,751,39.4338,0.0005
max_shoulder_flexion,settle-speed,0.9669,0.9914,0.9667,0.9915,750,39.4664,0.0
max_shoulder_flexion,both-speed,0.9672,0.9914,0.9672,0.9913,751,39.4338,0.0005
max_shoulder_flexion_drink,shipped,0.972,0.9939,0.9688,0.9933,748,35.2512,0.0
max_shoulder_flexion_drink,onset-speed,0.9721,0.9939,0.9689,0.9932,749,35.2094,0.0002
max_shoulder_flexion_drink,settle-speed,0.972,0.9939,0.9688,0.9933,748,35.2512,0.0
max_shoulder_flexion_drink,both-speed,0.9721,0.9939,0.9689,0.9932,749,35.2094,0.0002
max_elbow_angle,shipped,0.9811,0.9931,0.9811,0.9931,750,134.778,0.0
max_elbow_angle,onset-speed,0.9788,0.993,0.9788,0.993,751,134.7126,-0.0023
max_elbow_angle,settle-speed,0.9811,0.9931,0.9811,0.9931,750,134.778,0.0
max_elbow_angle,both-speed,0.9788,0.993,0.9788,0.993,751,134.7126,-0.0023
max_shoulder_abduction,shipped,0.9437,0.9681,0.9437,0.9683,750,33.5158,0.0
max_shoulder_abduction,onset-speed,0.9435,0.9683,0.9435,0.9685,751,33.5158,-0.0002
max_shoulder_abduction,settle-speed,0.9437,0.9681,0.9437,0.9683,750,33.5158,0.0
max_shoulder_abduction,both-speed,0.9435,0.9683,0.9435,0.9685,751,33.5158,-0.0002
