boundary,family,param,hold,n,mean_ms,median_ms,p90_ms,frac_gt_4fr,absdiff_amq_ms,resid_iqr_ms,spd_pct,nofire_pct
onset,SHIPPED,,9,748,33.2,16.7,66.7,7.2,200.0,50.0,47.0,0.0
onset,pos-abs,10.0,9,748,47.0,33.3,83.3,12.3,100.0,33.3,23.9,0.0
onset,pos-abs,20.0,9,748,41.4,33.3,66.7,9.2,150.0,50.0,37.4,0.0
onset,pos-abs,30.0,9,748,38.5,16.7,66.7,9.2,200.0,50.0,46.9,0.0
onset,pos-abs,50.0,9,747,37.8,16.7,66.7,9.9,250.0,66.7,61.3,0.1
onset,rel-pos,0.005,9,748,249.6,133.3,633.3,61.0,33.3,33.3,9.5,0.0
onset,rel-pos,0.01,9,748,104.5,33.3,283.3,30.1,50.0,33.3,14.2,0.0
onset,rel-pos,0.015,9,748,62.6,33.3,133.3,17.8,83.3,16.7,18.1,0.0
onset,rel-pos,0.02,9,748,48.8,16.7,88.3,13.0,100.0,33.3,22.0,0.0
onset,speed,0.03,9,748,91.2,33.3,183.3,28.9,16.7,16.7,4.0,0.0
onset,speed,0.05,9,748,48.5,33.3,83.3,15.8,16.7,33.3,6.3,0.0
onset,speed,0.08,9,748,37.9,33.3,66.7,9.6,33.3,33.3,9.4,0.0
onset,speed,0.1,9,747,35.8,16.7,66.7,7.6,33.3,33.3,11.7,0.0
onset,speed,0.15,9,746,35.6,16.7,75.0,10.1,66.7,50.0,17.1,0.0
onset,proj-fix,0.01,9,745,154.7,66.7,410.0,44.7,50.0,100.0,9.7,0.4
onset,proj-fix,0.02,9,745,83.0,50.0,150.0,33.8,50.0,66.7,12.4,0.4
onset,proj-fix,0.03,9,744,62.9,50.0,116.7,27.2,66.7,66.7,14.7,0.4
onset,pos-abs,10.0,18,748,52.8,33.3,83.3,13.4,100.0,33.3,24.4,0.0
onset,pos-abs,20.0,18,748,52.1,33.3,83.3,11.8,150.0,50.0,37.6,0.0
onset,pos-abs,30.0,18,748,51.6,16.7,100.0,12.7,200.0,50.0,47.0,0.0
onset,pos-abs,50.0,18,746,47.2,33.3,100.0,13.1,250.0,66.7,61.3,0.3
onset,rel-pos,0.005,18,748,222.7,100.0,616.7,56.1,33.3,33.3,9.6,0.0
onset,rel-pos,0.01,18,748,98.7,33.3,266.7,28.6,50.0,33.3,14.4,0.0
