measure,n,r_s_opt,r_s_mmc,r_s_opt_lo,r_s_opt_hi,r_s_mmc_lo,r_s_mmc_hi,d_mmc,d_lo,d_hi,d_detectable,d_identical,r_av_opt,r_av_opt_lo,r_av_opt_hi,n_groups_opt,r_av_mmc,r_av_mmc_lo,r_av_mmc_hi,n_groups_mmc
PV [mm/s],750,0.8936,0.8883,0.8761,0.9091,0.869,0.9051,-0.0052,-0.0128,-0.0003,True,False,0.9428,0.819,0.9804,21,0.9438,0.8266,0.981,21
Elbow angular PV [deg/s],750,0.9115,0.8987,0.8924,0.9267,0.8759,0.9173,-0.0127,-0.0273,-0.0026,True,False,0.9734,0.9393,0.9873,21,0.9778,0.9489,0.9895,21
Time to PV [s],748,0.9923,0.9596,0.9884,0.995,0.8954,0.9914,-0.0328,-0.0961,-0.0012,True,False,0.9949,0.9898,0.9976,21,0.994,0.9881,0.997,21
Time to first PV [s],748,0.9957,0.9952,0.9938,0.9972,0.9928,0.9969,-0.0005,-0.0015,0.0001,False,False,0.9968,0.9948,0.9984,21,0.9968,0.995,0.9985,21
Number of movement units [n],748,0.8406,0.8044,0.7536,0.8921,0.6962,0.8674,-0.0363,-0.0659,-0.0189,True,False,0.9328,0.31,0.9773,21,0.8941,0.2697,0.9653,21
Total movement time [s],602,1.0,0.9945,1.0,1.0,0.9894,0.9977,-0.0055,-0.0106,-0.0023,True,False,1.0,1.0,1.0,21,0.9975,0.9915,0.9993,21
Interjoint coordination,747,0.483,0.5711,0.2423,0.8188,0.3753,0.8038,0.0881,-0.0795,0.2081,False,False,0.827,0.3202,0.953,21,0.8757,0.2491,0.9633,21
Trunk displacement [mm],750,0.9517,0.9517,0.9311,0.9673,0.9311,0.9673,0.0,0.0,0.0,False,True,0.9856,0.9617,0.997,21,0.9856,0.9607,0.997,21
Shoulder flexion [deg],750,0.9669,0.9667,0.9564,0.9754,0.9562,0.9752,-0.0002,-0.0009,0.0006,False,False,0.9914,0.9773,0.9967,21,0.9915,0.9756,0.9968,21
"Shoulder flexion, drinking [deg]",748,0.972,0.9688,0.9638,0.9788,0.9583,0.9772,-0.0032,-0.0096,0.0001,False,False,0.9939,0.9849,0.9978,21,0.9933,0.9825,0.9975,21
Elbow extension [deg],750,0.9811,0.9811,0.9779,0.9839,0.9779,0.9839,0.0,0.0,0.0,False,True,0.9931,0.98,0.9976,21,0.9931,0.9808,0.9977,21
Shoulder abduction [deg],750,0.9437,0.9437,0.9288,0.9559,0.929,0.9557,-0.0,-0.0013,0.0011,False,False,0.9681,0.9135,0.9934,21,0.9683,0.9146,0.993,21
