measure,r_s_60,r_s_30,r_av_60,r_av_30,n
PV [mm/s],0.8883239940916496,0.8603718911649524,0.9437935893020634,0.9429769719570287,750
Elbow angular PV [deg/s],0.8987433380145575,0.8890468396002744,0.9777998965843068,0.9742949361198237,750
Time to PV [s],0.9620976548878342,0.9637955765789241,0.9949305001407589,0.9964259947391655,743
Time to first PV [s],0.9952361318797716,0.9940943155372146,0.996778244745264,0.99677200089905,743
Number of movement units [n],0.8044094409374523,0.8206855029179728,0.8941010312676784,0.8974748903916397,743
Total movement time [s],0.9944560419662942,0.989393563967961,0.995942791139204,0.9966220604765442,600
Interjoint coordination,0.5722216026650548,0.2969806061803074,0.8764713134697439,0.8073284803232716,739
Trunk displacement [mm],0.9517037978373499,0.9431536782210757,0.985564898601288,0.9860304979990892,750
Shoulder flexion [deg],0.9666916979925657,0.9665346976047422,0.9914756936182052,0.9916825110014961,750
"Shoulder flexion, drinking [deg]",0.9687735342567747,0.9720133643946938,0.9932681185736667,0.9933132948827675,748
Elbow extension [deg],0.9811354034362259,0.9813427152179703,0.9930753511365821,0.9932034212574895,750
Shoulder abduction [deg],0.9436885081001236,0.9444839491154317,0.9683162178821925,0.966388539659278,750
