measure,r_s,r_av,r_s_mmcwin,r_av_mmcwin,n
PV [mm/s],0.894849991656311,0.9432728580667534,0.8894122048219602,0.9448278718974102,750
Elbow angular PV [deg/s],0.8866046454285349,0.9392396176427815,0.8771146487933452,0.9485035015628173,750
Time to PV [s],0.9932429172964443,0.9951607425385413,0.9605278690603273,0.9938764749991232,748
Time to first PV [s],0.9962020798168043,0.9973106443520634,0.9957132420873144,0.9973656085585545,748
Number of movement units [n],0.8437097709903023,0.9326518524901173,0.8069584671481753,0.892634595081761,748
Total movement time [s],1.0,0.9999999999999998,0.9944583420038351,0.9974830956218119,602
Interjoint coordination,0.40567809530508303,0.7865778914890261,0.4719228768022241,0.8670360477279313,747
Trunk displacement [mm],0.9338907877260361,0.9596835288310184,0.9338907877260361,0.9596835288310184,750
Shoulder flexion [deg],0.6832981929239342,0.6983228645055415,0.6824963095479412,0.69814527349465,750
"Shoulder flexion, drinking [deg]",0.7300930070004148,0.7559180542598518,0.7228834678737858,0.7547349936614322,748
Elbow extension [deg],0.9003593781259993,0.8989123685799445,0.9003593781259993,0.8989123685799445,750
Shoulder abduction [deg],0.8630377605259898,0.8672175524615866,0.8616666955932775,0.8672552993892135,750
