measure,r_s,r_av,r_s_mmcwin,r_av_mmcwin,n
PV [mm/s],0.8935652653000805,0.9428440142259795,0.8883239940916496,0.9437935893020634,750
Elbow angular PV [deg/s],0.9114891805888639,0.9734497035193672,0.8987433380145575,0.9777998965843068,750
Time to PV [s],0.9923470189141064,0.9948944539430594,0.9595795613137491,0.9939686102693034,748
Time to first PV [s],0.9957460986221758,0.9967552707926287,0.9952454608717046,0.9968375294892955,748
Number of movement units [n],0.8406457843591773,0.9328302569503806,0.80435831551353,0.8941196921048185,748
Total movement time [s],1.0,0.9999999999999998,0.9944583420038351,0.9974830956218119,602
Interjoint coordination,0.4829587163401185,0.8270072958487473,0.5710762035911366,0.8757275312502334,747
Trunk displacement [mm],0.9517037978373499,0.985564898601288,0.9517037978373499,0.985564898601288,750
Shoulder flexion [deg],0.9668557557876629,0.9914256966819354,0.9666916979925657,0.9914756936182052,750
"Shoulder flexion, drinking [deg]",0.971964238151135,0.9939198269309653,0.9687735342567747,0.9932681185736667,748
Elbow extension [deg],0.9811354034362259,0.9930753511365821,0.9811354034362259,0.9930753511365821,750
Shoulder abduction [deg],0.9437383013110141,0.9681081365054941,0.9436885081001236,0.9683162178821925,750
