measure,r_s_60,r_s_30,d_r_s,r_av_60,r_av_30,signed_diff,rel_diff_pct,rel_diff_pct_lp60,n
PV [mm/s],0.8882949906228519,0.8806162887519704,-0.007678701870881488,0.9438073910729121,0.9386258246494464,-34.184478759765625,-6.626301190614924,-6.626301190614924,750
Elbow angular PV [deg/s],0.898735270886077,0.9075463975035638,0.008811126617486842,0.977816886359721,0.9886656181810586,-8.616074094092951,-8.671339079515882,-10.096387479179944,750
Time to PV [s],0.9594848885839191,0.9564266030235349,-0.003058285560384233,0.9939033826891135,0.9955655608381423,0.01666666666666672,1.5384615384615434,1.5384615384615434,748
Time to first PV [s],0.9952384506729286,0.9783930235063005,-0.01684542716662807,0.9968286405786146,0.9958554077372888,0.01666666666666672,1.5384615384615434,1.5384615384615434,748
Number of movement units [n],0.8079003851234052,0.8125437715648262,0.004643386441420927,0.8985961883671466,0.8439200787911456,0.0,0.0,0.0,748
Total movement time [s],0.9942732167723919,0.9862935395050632,-0.007979677267328733,0.9980776203814824,0.9961948061378401,0.0,0.0,0.0,748
Interjoint coordination,0.5701540865508639,0.5956337663328386,0.02547967978197474,0.875633615407684,0.8011581221729992,-0.000671273888340651,-0.06827404752109607,0.06920886115146241,747
Trunk displacement [mm],0.9338982241631365,0.9411325920799929,0.007234367916856388,0.9596885588887107,0.9630206188427946,0.3359081854773436,0.6513669779264293,0.6513669779264293,750
Shoulder flexion [deg],0.9666955421379022,0.9652952572938513,-0.0014002848440508586,0.9914760163183203,0.9914338126983161,0.2168320469092926,0.538428649765061,0.5473186430862633,750
"Shoulder flexion, drinking [deg]",0.9687726048207926,0.971396933865962,0.0026243290451694046,0.9932670281522663,0.9928664639481571,-0.030791526656308577,-0.09179939324998758,-0.10702103960541401,748
Elbow extension [deg],0.981134401574407,0.9805857770599805,-0.000548624514426499,0.9930748179355566,0.9923677597640261,0.7319907656898437,0.5339780303043834,0.5693108035311669,750
Shoulder abduction [deg],0.9436980769772625,0.9484106063432732,0.004712529366010743,0.9683230214426212,0.9700053993780823,-0.1487729584027644,-0.4640286865219413,-0.5557290104516486,750
