part,trial,boundary,s60,s30
P07,trial_10_L_unaffected,reach onset,1.6,1.6
P07,trial_10_L_unaffected,grasp,2.4833333333333334,2.433333333333333
P07,trial_10_L_unaffected,drink onset,3.6166666666666667,3.6333333333333333
P07,trial_10_L_unaffected,drink offset,4.933333333333334,4.933333333333334
P07,trial_10_L_unaffected,release,7.0,7.066666666666666
P07,trial_10_L_unaffected,settle,7.5,7.866666666666666
P07,trial_27_L_unaffected,reach onset,1.1666666666666667,1.1666666666666667
P07,trial_27_L_unaffected,grasp,2.25,2.2333333333333334
P07,trial_27_L_unaffected,drink onset,3.533333333333333,3.566666666666667
P07,trial_27_L_unaffected,drink offset,4.783333333333333,4.833333333333333
P07,trial_27_L_unaffected,release,6.333333333333333,6.366666666666666
P07,trial_27_L_unaffected,settle,6.8,6.8
P07,trial_43_R_affected,reach onset,2.066666666666667,2.066666666666667
P07,trial_43_R_affected,grasp,3.283333333333333,3.2666666666666666
P07,trial_43_R_affected,drink onset,9.95,9.966666666666667
P07,trial_43_R_affected,drink offset,11.483333333333333,11.5
P07,trial_43_R_affected,release,13.4,13.433333333333334
P07,trial_43_R_affected,settle,13.883333333333333,13.9
P07,trial_5_L_unaffected,reach onset,0.0,0.3333333333333333
P07,trial_5_L_unaffected,grasp,0.55,0.5666666666666667
P07,trial_5_L_unaffected,drink onset,2.3333333333333335,2.3666666666666667
P07,trial_5_L_unaffected,drink offset,2.95,2.966666666666667
P07,trial_5_L_unaffected,release,4.583333333333333,4.633333333333334
P07,trial_5_L_unaffected,settle,5.1,5.1
P07,trial_76_R_affected,reach onset,1.4666666666666666,1.4666666666666666
P07,trial_76_R_affected,grasp,1.9666666666666666,1.9666666666666666
P07,trial_76_R_affected,drink onset,4.7,4.7
P07,trial_76_R_affected,drink offset,7.45,7.466666666666667
P07,trial_76_R_affected,release,9.9,9.9
P07,trial_76_R_affected,settle,10.483333333333333,10.5
P08,trial_17_R_unaffected,reach onset,1.3166666666666667,1.3333333333333333
P08,trial_17_R_unaffected,grasp,2.316666666666667,2.3666666666666667
P08,trial_17_R_unaffected,drink onset,3.95,3.966666666666667
P08,trial_17_R_unaffected,drink offset,5.083333333333333,5.133333333333334
P08,trial_17_R_unaffected,release,6.966666666666667,7.0
P08,trial_17_R_unaffected,settle,7.716666666666667,7.733333333333333
P08,trial_35_R_unaffected,reach onset,1.2833333333333334,1.3
P08,trial_35_R_unaffected,grasp,2.566666666666667,2.566666666666667
P08,trial_35_R_unaffected,drink onset,3.8833333333333333,3.9
P08,trial_35_R_unaffected,drink offset,5.683333333333334,5.7
P08,trial_35_R_unaffected,release,8.35,8.366666666666667
P08,trial_35_R_unaffected,settle,9.066666666666666,9.066666666666666
P08,trial_52_L_affected,reach onset,1.1166666666666667,1.1333333333333333
P08,trial_52_L_affected,grasp,1.9833333333333334,2.433333333333333
P08,trial_52_L_affected,drink onset,3.5,3.5
P08,trial_52_L_affected,drink offset,4.633333333333334,4.666666666666667
P08,trial_52_L_affected,release,6.866666666666666,6.866666666666666
P08,trial_52_L_affected,settle,7.45,7.466666666666667
P08,trial_69_L_affected,reach onset,1.1833333333333333,1.2
P08,trial_69_L_affected,grasp,2.0166666666666666,2.066666666666667
P08,trial_69_L_affected,drink onset,3.7,3.7
P08,trial_69_L_affected,drink offset,4.616666666666666,4.633333333333334
P08,trial_69_L_affected,release,6.95,6.933333333333334
P08,trial_69_L_affected,settle,7.783333333333333,7.8
P08,trial_86_L_affected,reach onset,1.1666666666666667,1.1666666666666667
P08,trial_86_L_affected,grasp,2.0166666666666666,2.033333333333333
P08,trial_86_L_affected,drink onset,3.816666666666667,3.8333333333333335
P08,trial_86_L_affected,drink offset,5.616666666666666,5.633333333333334
